sample_id,task,cycle,layer,head,shared_mass,own_mass,own_shared_overlap,gain
synthetic_niah_86,niah_single_1,0,25,2,0.9929062852747373,0.9951765603050564,0.8045454545454546,0.002270275030319069
synthetic_niah_86,niah_single_1,0,25,3,0.9801832693569874,0.9855309909855909,0.65,0.00534772162860353
synthetic_niah_86,niah_single_1,0,25,4,0.9933938009914228,0.9962830263830004,0.6818181818181818,0.0028892253915775434
synthetic_niah_86,niah_single_1,0,25,5,0.9963727394501017,0.9982992225445123,0.6772727272727272,0.0019264830944105693
synthetic_niah_86,niah_single_1,0,25,6,0.9983378005866543,0.999109985530822,0.6863636363636364,0.000772184944167642
synthetic_niah_86,niah_single_1,0,25,7,0.9673278603841661,0.9725017841390436,0.8,0.005173923754877574
synthetic_niah_86,niah_single_1,0,26,0,0.9939546005692609,0.9957146561629107,0.7,0.0017600555936497786
synthetic_niah_86,niah_single_1,0,26,1,0.968364561659973,0.9730219353970636,0.7954545454545454,0.004657373737090631
synthetic_niah_86,niah_single_1,0,26,2,0.9946214081460352,0.9989157626212309,0.33636363636363636,0.004294354475195772
synthetic_niah_86,niah_single_1,0,26,3,0.9986066401640057,0.9990498031301693,0.7272727272727273,0.00044316296616364603
synthetic_niah_86,niah_single_1,0,26,4,0.9961164975531157,0.9974280605339746,0.7454545454545455,0.0013115629808588825
synthetic_niah_86,niah_single_1,0,26,5,0.9902914309099246,0.9937809434002189,0.7681818181818182,0.0034895124902943886
synthetic_niah_86,niah_single_1,0,26,6,0.97749723628786,0.9851426801860865,0.7181818181818181,0.007645443898226523
synthetic_niah_86,niah_single_1,0,26,7,0.9920876689337628,0.9954921925359356,0.7136363636363636,0.0034045236021728043
synthetic_niah_86,niah_single_1,0,27,0,0.9988945417972892,0.999405125446411,0.5772727272727273,0.0005105836491218207
synthetic_niah_86,niah_single_1,0,27,1,0.9970340001487168,0.9982399833475859,0.7272727272727273,0.0012059831988691094
synthetic_niah_86,niah_single_1,0,27,2,0.9938310907742876,0.9971995578165364,0.7045454545454546,0.0033684670422488017
synthetic_niah_86,niah_single_1,0,27,3,0.9791896787516332,0.9830874254978448,0.7045454545454546,0.0038977467462115722
synthetic_niah_86,niah_single_1,0,27,4,0.986507087994945,0.9902227971770182,0.7363636363636363,0.0037157091820732013
synthetic_niah_86,niah_single_1,0,27,5,0.9999106286351422,0.9999670237386042,0.6227272727272727,5.6395103462003604e-05
